epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
47,28008.5,1.0525,1.0693,1.33457,0.9291,0.89616,0.92374,0.76063,1.00968,0.86227,1.16301,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,28567.2,1.04489,1.05769,1.33138,0.92661,0.8972,0.92391,0.76067,1.00871,0.8606,1.16214,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,29142.8,1.04927,1.0696,1.33341,0.92686,0.89765,0.92403,0.76145,1.00738,0.85901,1.16103,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,29703.8,1.04057,1.05177,1.32474,0.92689,0.8985,0.92464,0.76211,1.00636,0.85765,1.16019,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,30269.5,1.03889,1.05279,1.3248,0.92559,0.89933,0.92472,0.76253,1.0053,0.856,1.15932,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,30830.5,1.0388,1.048,1.32283,0.92652,0.89902,0.92511,0.76373,1.00441,0.8542,1.15857,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,31390,1.02748,1.03423,1.31331,0.92499,0.90039,0.92561,0.7644,1.0032,0.85214,1.15748,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,32073.9,1.02723,1.03381,1.31523,0.92549,0.90024,0.92575,0.7643,1.00203,0.85021,1.15651,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,32651.7,1.02502,1.02394,1.31318,0.92436,0.90286,0.9262,0.76554,1.00091,0.84872,1.15579,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,33263.7,1.02443,1.02137,1.31309,0.92474,0.90306,0.92669,0.76566,1.00011,0.84692,1.15485,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,33849,1.02038,1.0172,1.31131,0.92558,0.90349,0.92709,0.76621,0.99949,0.84543,1.15422,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,34426,1.0219,1.01917,1.31182,0.92415,0.90516,0.92742,0.76684,0.99842,0.84396,1.15333,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,34993.8,1.00861,1.0073,1.30425,0.9262,0.9042,0.92766,0.76713,0.99749,0.84236,1.1524,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,35609.7,1.01701,1.00894,1.30464,0.92828,0.90377,0.92793,0.76757,0.99667,0.84076,1.1515,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,36157.6,1.00876,0.99991,1.30196,0.92899,0.90414,0.92818,0.76745,0.99529,0.83911,1.15029,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,36829.3,0.99932,0.99219,1.29398,0.92945,0.90389,0.92846,0.76797,0.99444,0.83722,1.14918,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,37544.1,1.00202,0.98861,1.29693,0.92872,0.90495,0.92875,0.76815,0.99346,0.83537,1.14824,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,38250.2,0.99995,0.98765,1.29531,0.92989,0.90453,0.92892,0.76884,0.99295,0.83395,1.14744,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,38959.1,0.998,0.98388,1.29274,0.92914,0.90497,0.92919,0.76913,0.99248,0.83225,1.14666,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,39644.8,0.99537,0.97598,1.2898,0.92859,0.9057,0.92963,0.76988,0.99158,0.83066,1.14557,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,40212.4,0.99259,0.98227,1.29037,0.92858,0.90659,0.93017,0.77082,0.9905,0.82904,1.14463,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,40926.4,0.98416,0.96172,1.27999,0.93016,0.90683,0.93056,0.77111,0.98952,0.8273,1.14361,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,41645.6,0.98323,0.96915,1.28176,0.93029,0.90733,0.93093,0.77237,0.98863,0.82566,1.14257,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,42363.9,0.97884,0.95965,1.27797,0.93139,0.90797,0.9313,0.7732,0.98721,0.82392,1.14127,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,43081.7,0.97551,0.95048,1.27492,0.93205,0.90736,0.9316,0.77358,0.98622,0.8221,1.14031,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,43795.6,0.97227,0.95036,1.2736,0.93205,0.90714,0.93227,0.77446,0.9852,0.82011,1.13918,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,44510.2,0.9753,0.95138,1.27533,0.93145,0.90768,0.93246,0.77489,0.98395,0.81826,1.1381,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,45215.1,0.96704,0.94395,1.27189,0.932,0.90757,0.93278,0.77554,0.98309,0.81677,1.1371,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,45820.1,0.96855,0.94514,1.26911,0.93285,0.9079,0.93319,0.77627,0.98187,0.81546,1.13605,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,46529.7,0.96319,0.93758,1.26722,0.93322,0.90949,0.93363,0.7767,0.98085,0.81378,1.1352,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,47241.1,0.95802,0.9261,1.2598,0.93388,0.91003,0.93384,0.77755,0.97949,0.81172,1.13394,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
